dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
ORNL_043-M-20240626-comp-DNA1,24S_25_2339,32,24S_25,Well_D09,B01,,
ORNL_046-M-20240626-comp-DNA1,24S_25_2340,41,24S_25,Well_E09,C01,,
ORNL_049-M-20240626-comp-DNA1,24S_25_2341,60,24S_25,Well_F09,D01,,
ORNL_053-M-20240626-comp-DNA1,24S_25_2342,70,24S_25,Well_G09,E01,,
TOOL_001-M-20240718-comp-DNA1,24S_26_2373,56,24S_26,Well_G01,F01,,
TOOL_001-O-20240718-comp-DNA1,24S_26_2374,58,24S_26,Well_H01,G01,,
LEAVE BLANK,,,,,H01,,
TOOL_002-O-20240718-comp-DNA1,24S_26_2375,49,24S_26,Well_A02,A02,,
TOOL_003-M-20240719-comp-DNA1,24S_26_2376,69,24S_26,Well_B02,B02,,
TOOL_003-O-20240719-comp-DNA1,24S_26_2377,41,24S_26,Well_C02,C02,,
TOOL_004-O-20240719-comp-DNA1,24S_26_2378,34,24S_26,Well_D02,D02,,
TOOL_005-M-20240718-comp-DNA1,24S_26_2379,39,24S_26,Well_E02,E02,,
TOOL_005-O-20240718-comp-DNA1,24S_26_2380,148,24S_26,Well_F02,F02,,
TOOL_006-O-20240718-comp-DNA1,24S_26_2381,34,24S_26,Well_G02,G02,,
TOOL_041-M-20240717-comp-DNA1,24S_26_2382,193,24S_26,Well_H02,H02,,
TOOL_041-O-20240717-comp-DNA1,24S_26_2383,94,24S_26,Well_A03,A03,,
TOOL_042-M-20240717-comp-DNA1,24S_26_2384,61,24S_26,Well_B03,B03,,
TOOL_042-O-20240717-comp-DNA1,24S_26_2385,71,24S_26,Well_C03,C03,,
TOOL_043-M-20240717-comp-DNA1,24S_26_2386,12,24S_26,Well_D03,D03,,
TOOL_043-O-20240717-comp-DNA1,24S_26_2387,56,24S_26,Well_E03,E03,,
TOOL_044-O-20240717-comp-DNA1,24S_26_2388,75,24S_26,Well_F03,F03,,
WOOD_001-M-20240702-comp-DNA1,24S_26_2419,224,24S_26,Well_E07,G03,,
WOOD_002-M-20240702-comp-DNA1,24S_26_2420,239,24S_26,Well_F07,H03,,
WOOD_003-M-20240702-comp-DNA1,24S_26_2421,119,24S_26,Well_G07,A04,,
WOOD_004-M-20240702-comp-DNA1,24S_26_2422,220,24S_26,Well_H07,B04,,
WOOD_005-M-20240703-comp-DNA1,24S_26_2423,94,24S_26,Well_A08,C04,,
WOOD_024-M-20240703-comp-DNA1,24S_26_2424,204,24S_26,Well_B08,D04,,
WOOD_042-M-20240702-comp-DNA1,24S_26_2425,114,24S_26,Well_C08,E04,,
WOOD_043-M-20240702-comp-DNA1,24S_26_2426,113,24S_26,Well_D08,F04,,
WOOD_045-M-20240702-comp-DNA1,24S_26_2428,130,24S_26,Well_F08,G04,,
KONZ_001-M-20240723-comp-DNA1,24S_26_2457,263,24S_26,Well_C12,H04,,
KONZ_002-M-20240723-comp-DNA1,24S_26_2458,115,24S_26,Well_D12,A05,,
KONZ_003-M-20240724-comp-DNA1,24S_26_2459,290,24S_26,Well_E12,B05,,
KONZ_004-M-20240723-comp-DNA1,24S_26_2460,235,24S_26,Well_F12,C05,,
KONZ_005-M-20240724-comp-DNA1,24S_26_2461,286,24S_26,Well_G12,D05,,
KONZ_042-M-20240722-comp-DNA1,24S_27_2463,283,24S_27,Well_B01,E05,,
KONZ_043-M-20240722-comp-DNA1,24S_27_2464,238,24S_27,Well_C01,F05,,
KONZ_045-M-20240722-comp-DNA1,24S_27_2465,12,24S_27,Well_D01,G05,,
KONZ_046-M-20240722-comp-DNA1,24S_27_2466,223,24S_27,Well_E01,H05,,
SRER_001-M-20240820-comp-DNA1,24S_27_2498,32,24S_27,Well_E05,A06,,
SRER_002-M-20240820-comp-DNA1,24S_27_2499,22,24S_27,Well_F05,B06,,
SRER_004-M-20240820-comp-DNA1,24S_27_2501,27,24S_27,Well_H05,C06,,
SRER_005-M-20240820-comp-DNA1,24S_27_2502,16,24S_27,Well_A06,D06,,
SRER_006-M-20240819-comp-DNA1,24S_27_2503,24,24S_27,Well_B06,E06,,
SRER_053-M-20240819-comp-DNA1,24S_27_2507,17,24S_27,Well_F06,F06,,
GUAN_001-M-20240903-comp-DNA1,24S_27_2508,249,24S_27,Well_G06,G06,,
GUAN_002-M-20240903-comp-DNA1,24S_27_2509,318,24S_27,Well_H06,H06,,
GUAN_003-M-20240829-comp-DNA1,24S_27_2510,295,24S_27,Well_A07,A07,,
GUAN_004-M-20240904-comp-DNA1,24S_27_2511,275,24S_27,Well_B07,B07,,
GUAN_006-M-20240904-comp-DNA1,24S_27_2512,324,24S_27,Well_C07,C07,,
GUAN_007-M-20240905-comp-DNA1,24S_27_2543,228,24S_27,Well_B11,D07,,
GUAN_042-M-20240902-comp-DNA1,24S_27_2544,280,24S_27,Well_C11,E07,,
GUAN_043-M-20240829-comp-DNA1,24S_27_2545,233,24S_27,Well_D11,F07,,
GUAN_048-M-20240903-comp-DNA1,24S_27_2546,170,24S_27,Well_E11,G07,,
GUAN_049-M-20240903-comp-DNA1,24S_27_2547,266,24S_27,Well_F11,H07,,
OSBS_001-M-20240710-comp-DNA1,24S_29_2702,38,24S_29,Well_D07,A08,,
OSBS_001-O-20240710-comp-DNA1,24S_29_2703,87,24S_29,Well_E07,B08,,
OSBS_002-M-20240710-comp-DNA1,24S_29_2704,10,24S_29,Well_F07,C08,,
OSBS_003-M-20240710-comp-DNA1,24S_29_2705,25,24S_29,Well_G07,D08,,
OSBS_004-M-20240710-comp-DNA1,24S_29_2706,65,24S_29,Well_H07,E08,,
OSBS_005-O-20240710-comp-DNA1,24S_29_2707,111,24S_29,Well_A08,F08,,
OSBS_026-M-20240708-comp-DNA1,24S_29_2708,12,24S_29,Well_B08,G08,,
OSBS_027-M-20240708-comp-DNA1,24S_29_2709,15,24S_29,Well_C08,H08,,
OSBS_063-M-20240710-comp-DNA1,24S_29_2712,11,24S_29,Well_F08,A09,,
JERC_001-M-20240717-comp-DNA1,24S_29_2713,42,24S_29,Well_G08,B09,,
JERC_002-M-20240716-comp-DNA1,24S_29_2714,24,24S_29,Well_H08,C09,,
JERC_004-M-20240716-comp-DNA1,24S_29_2715,15,24S_29,Well_A09,D09,,
JERC_005-M-20240716-comp-DNA1,24S_29_2716,18,24S_29,Well_B09,E09,,
JERC_006-M-20240716-comp-DNA1,24S_29_2717,20,24S_29,Well_C09,F09,,
JERC_007-M-20240717-comp-DNA1,24S_29_2718,41,24S_29,Well_D09,G09,,
JERC_047-M-20240715-comp-DNA1,24S_29_2719,30,24S_29,Well_E09,H09,,
JERC_048-M-20240715-comp-DNA1,24S_29_2720,30,24S_29,Well_F09,A10,,
JERC_049-M-20240716-comp-DNA1,24S_29_2721,22,24S_29,Well_G09,B10,,
JERC_050-M-20240716-comp-DNA1,24S_29_2722,32,24S_29,Well_H09,C10,,
BONA_009-O-20240712-comp-DNA2,24S_30_2822,79,24S_30,Well_E10,D10,,
TALL_002-M-20240618-comp-DNA2,24S_33_3000,33,24S_33,Well_G03,E10,,
TALL_001-M-20240619-comp-DNA2,24S_33_3028,30,24S_33,Well_C07,F10,,
,,,,,G10,,
,,,,,H10,,
,,,,,A11,,
,,,,,B11,,
,,,,,C11,,
,,,,,D11,,
,,,,,E11,,
,,,,,F11,,
,,,,,G11,,
,,,,,H11,,
LEAVE BLANK,,,,,A12,,
,,,,,B12,,
,,,,,C12,,
,,,,,D12,,
,,,,,E12,,
,,,,,F12,,
,,,,,G12,,
LEAVE BLANK,,,,,H12,,